iter	Passed	Remaining
0	144	143910
1	145	72441
2	146	48595
3	147	36663
4	148	29515
5	149	24746
6	150	21339
7	151	18778
8	152	16835
9	153	15240
10	154	13935
11	156	12848
12	157	11964
13	158	11173
14	159	10485
15	160	9882
16	162	9385
17	163	8911
18	164	8485
19	165	8105
20	166	7761
21	167	7446
22	168	7158
23	169	6895
24	171	6682
25	172	6472
26	173	6262
27	174	6068
28	175	5886
29	176	5721
30	178	5564
31	179	5415
32	180	5292
33	181	5162
34	182	5038
35	183	4920
36	184	4810
37	185	4706
38	187	4617
39	188	4521
40	189	4442
41	190	4355
42	191	4272
43	192	4193
44	193	4116
45	194	4044
46	196	3974
47	196	3906
48	198	3843
49	199	3793
50	200	3734
51	202	3682
52	203	3628
53	204	3575
54	205	3525
55	206	3476
56	207	3436
57	208	3390
58	209	3345
59	210	3301
60	211	3258
61	212	3218
62	213	3180
63	215	3145
64	216	3116
65	218	3086
66	219	3051
67	219	3010
68	220	2977
69	221	2944
70	222	2913
71	223	2882
72	224	2853
73	226	2831
74	227	2803
75	228	2776
76	229	2750
77	230	2723
78	231	2700
79	232	2678
80	233	2653
81	235	2636
82	236	2612
83	237	2590
84	238	2563
85	239	2542
86	239	2517
87	240	2496
88	241	2476
89	243	2458
90	244	2444
91	245	2424
92	247	2409
93	248	2390
94	249	2372
95	250	2354
96	251	2337
97	252	2319
98	253	2308
99	254	2292
100	255	2276
101	256	2256
102	257	2241
103	258	2225
104	259	2210
105	260	2195
106	261	2182
107	262	2169
108	263	2155
109	264	2142
110	265	2128
111	266	2115
112	267	2102
113	268	2089
114	269	2076
115	271	2066
116	272	2055
117	273	2043
118	274	2030
119	275	2019
120	276	2009
121	277	1997
122	278	1982
123	279	1971
124	280	1960
125	281	1949
126	282	1939
127	282	1926
128	283	1915
129	284	1905
130	285	1895
131	286	1885
132	287	1875
133	288	1866
134	289	1856
135	290	1848
136	292	1839
137	292	1829
138	293	1820
139	294	1811
140	295	1802
141	296	1793
142	297	1785
143	298	1776
144	300	1769
145	301	1761
146	302	1753
147	303	1745
148	304	1737
149	305	1731
150	306	1724
151	307	1717
152	309	1711
153	310	1703
154	311	1696
155	312	1688
156	313	1681
157	314	1675
158	315	1670
159	316	1664
160	318	1657
161	318	1650
162	319	1643
163	321	1636
164	322	1629
165	323	1623
166	324	1616
167	324	1609
168	325	1602
169	326	1596
170	328	1590
171	329	1584
172	330	1577
173	331	1571
174	332	1565
175	333	1559
176	334	1553
177	335	1547
178	336	1541
179	337	1535
180	337	1527
181	338	1521
182	339	1515
183	340	1510
184	341	1504
185	342	1499
186	343	1494
187	344	1488
188	345	1482
189	346	1477
190	347	1472
191	348	1467
192	349	1461
193	350	1456
194	351	1451
195	352	1446
196	353	1441
197	354	1435
198	355	1430
199	356	1425
200	357	1422
201	358	1417
202	359	1412
203	360	1407
204	361	1402
205	362	1398
206	363	1393
207	364	1388
208	365	1384
209	366	1379
210	367	1375
211	368	1370
212	369	1365
213	370	1361
214	371	1357
215	372	1352
216	373	1348
217	374	1344
218	375	1339
219	376	1335
220	377	1331
221	378	1326
222	379	1322
223	380	1318
224	381	1314
225	382	1310
226	383	1306
227	384	1301
228	385	1297
229	386	1293
230	387	1289
231	388	1285
232	389	1281
233	390	1278
234	391	1274
235	392	1270
236	393	1266
237	394	1262
238	395	1258
239	396	1255
240	397	1251
241	398	1247
242	399	1243
243	400	1240
244	401	1236
245	402	1233
246	403	1229
247	404	1225
248	405	1222
249	406	1218
250	407	1215
251	408	1211
252	409	1208
253	410	1204
254	411	1201
255	412	1197
256	413	1194
257	414	1190
258	415	1187
259	416	1184
260	417	1180
261	417	1177
262	418	1174
263	419	1170
264	420	1167
265	421	1164
266	423	1161
267	423	1158
268	424	1154
269	425	1151
270	426	1148
271	427	1145
272	428	1141
273	429	1138
274	430	1135
275	431	1132
276	432	1129
277	433	1126
278	434	1123
279	435	1120
280	436	1117
281	437	1115
282	439	1112
283	440	1109
284	441	1106
285	442	1103
286	443	1100
287	444	1097
288	445	1094
289	446	1092
290	447	1089
291	447	1086
292	448	1083
293	450	1080
294	451	1077
295	452	1075
296	453	1072
297	454	1069
298	455	1066
299	455	1063
300	456	1061
301	457	1058
302	458	1055
303	459	1052
304	460	1050
305	461	1047
306	462	1044
307	463	1042
308	464	1039
309	465	1036
310	467	1035
311	468	1033
312	469	1031
313	471	1029
314	472	1026
315	473	1024
316	474	1021
317	475	1018
318	476	1016
319	477	1013
320	477	1011
321	478	1008
322	479	1005
323	480	1003
324	481	1001
325	483	999
326	484	996
327	485	994
328	486	991
329	487	989
330	488	987
331	489	984
332	490	982
333	491	979
334	492	977
335	493	975
336	494	973
337	495	970
338	496	968
339	497	966
340	498	963
341	499	961
342	500	959
343	501	956
344	502	954
345	503	952
346	504	950
347	505	947
348	506	945
349	507	942
350	508	940
351	509	938
352	510	936
353	511	934
354	513	932
355	514	929
356	515	927
357	515	925
358	516	923
359	517	920
360	518	918
361	519	916
362	520	914
363	522	912
364	523	911
365	525	909
366	526	907
367	527	905
368	528	903
369	529	901
370	530	900
371	532	898
372	533	896
373	534	894
374	535	892
375	536	890
376	537	887
377	538	886
378	539	884
379	541	883
380	542	881
381	543	879
382	544	876
383	545	874
384	546	872
385	547	870
386	548	868
387	549	867
388	550	865
389	551	863
390	552	861
391	553	859
392	555	857
393	556	855
394	557	853
395	558	852
396	559	850
397	560	848
398	561	846
399	562	844
400	563	842
401	565	840
402	566	838
403	567	837
404	568	835
405	569	833
406	571	832
407	572	830
408	573	828
409	574	826
410	575	824
411	576	822
412	577	820
413	578	818
414	579	816
415	580	814
416	581	813
417	582	811
418	583	809
419	584	807
420	586	806
421	587	804
422	588	802
423	589	800
424	590	798
425	591	796
426	592	794
427	593	792
428	594	791
429	595	789
430	596	787
431	597	786
432	598	784
433	600	782
434	601	780
435	602	778
436	603	777
437	604	776
438	605	774
439	606	772
440	607	770
441	608	768
442	609	766
443	610	764
444	612	763
445	613	761
446	614	760
447	615	758
448	616	756
449	617	754
450	618	753
451	619	751
452	620	749
453	622	748
454	623	746
455	624	744
456	625	742
457	626	741
458	627	739
459	628	737
460	629	736
461	631	735
462	632	733
463	633	731
464	634	729
465	635	728
466	636	726
467	637	724
468	638	723
469	640	721
470	641	719
471	642	718
472	643	716
473	644	714
474	645	713
475	646	711
476	647	709
477	648	708
478	649	706
479	650	705
480	651	703
481	653	701
482	654	700
483	654	698
484	655	696
485	657	694
486	658	693
487	659	692
488	660	690
489	662	689
490	663	687
491	664	685
492	665	683
493	666	682
494	668	682
495	670	681
496	671	679
497	672	677
498	673	676
499	674	674
500	675	673
501	677	671
502	678	670
503	679	668
504	680	666
505	681	665
506	682	663
507	683	661
508	684	660
509	685	658
510	687	657
511	688	655
512	689	654
513	690	653
514	692	651
515	693	650
516	694	648
517	695	647
518	696	645
519	697	644
520	698	642
521	699	640
522	700	639
523	701	637
524	702	635
525	704	634
526	705	633
527	706	631
528	707	630
529	708	628
530	709	627
531	711	625
532	712	623
533	713	622
534	714	621
535	715	619
536	716	617
537	717	616
538	718	614
539	720	613
540	721	611
541	722	610
542	723	608
543	724	607
544	725	605
545	726	604
546	727	602
547	728	601
548	729	599
549	730	598
550	732	596
551	733	594
552	734	593
553	735	592
554	736	590
555	737	588
556	738	587
557	739	585
558	741	584
559	742	583
560	743	581
561	744	579
562	745	578
563	746	576
564	747	575
565	748	573
566	749	572
567	750	570
568	751	569
569	752	567
570	753	566
571	754	564
572	755	562
573	756	561
574	757	559
575	758	558
576	760	557
577	761	555
578	762	554
579	763	552
580	764	551
581	765	549
582	766	548
583	767	546
584	768	545
585	769	543
586	770	542
587	771	540
588	772	539
589	773	537
590	774	536
591	776	534
592	777	533
593	778	532
594	779	530
595	780	529
596	782	528
597	784	527
598	786	526
599	787	524
600	788	523
601	789	521
602	790	520
603	791	518
604	792	517
605	793	515
606	795	515
607	796	513
608	797	512
609	798	510
610	799	509
611	800	507
612	801	506
613	802	504
614	803	503
615	804	501
616	805	500
617	807	499
618	809	497
619	810	496
620	811	495
621	812	493
622	813	492
623	814	490
624	815	489
625	816	487
626	817	486
627	818	484
628	819	483
629	820	481
630	821	480
631	822	479
632	824	477
633	825	476
634	826	474
635	827	473
636	828	472
637	829	470
638	830	469
639	831	467
640	832	466
641	833	464
642	834	463
643	835	462
644	836	460
645	837	459
646	839	457
647	840	456
648	841	455
649	842	453
650	843	452
651	844	450
652	845	449
653	846	447
654	847	446
655	849	445
656	850	443
657	851	442
658	852	440
659	853	439
660	854	438
661	855	436
662	856	435
663	858	434
664	859	432
665	860	431
666	861	430
667	862	428
668	863	427
669	864	425
670	865	424
671	866	422
672	867	421
673	869	420
674	870	418
675	871	417
676	872	416
677	873	414
678	874	413
679	875	411
680	876	410
681	877	409
682	878	407
683	879	406
684	880	405
685	882	403
686	883	402
687	884	401
688	886	399
689	887	398
690	888	397
691	889	395
692	890	394
693	891	393
694	892	391
695	893	390
696	894	388
697	895	387
698	896	386
699	897	384
700	898	383
701	899	382
702	900	380
703	901	379
704	903	377
705	903	376
706	904	375
707	905	373
708	906	372
709	907	370
710	908	369
711	910	368
712	911	366
713	912	365
714	913	364
715	914	362
716	915	361
717	916	360
718	917	358
719	918	357
720	919	355
721	920	354
722	922	353
723	923	351
724	924	350
725	925	349
726	926	347
727	927	346
728	928	345
729	929	343
730	931	342
731	932	341
732	933	339
733	934	338
734	935	337
735	936	335
736	937	334
737	938	333
738	939	331
739	940	330
740	941	329
741	942	327
742	943	326
743	944	325
744	945	323
745	946	322
746	947	320
747	948	319
748	949	318
749	950	316
750	951	315
751	953	314
752	954	312
753	955	311
754	956	310
755	957	308
756	958	307
757	959	306
758	960	304
759	961	303
760	962	302
761	963	300
762	964	299
763	965	298
764	966	296
765	967	295
766	968	294
767	969	292
768	970	291
769	971	290
770	972	288
771	973	287
772	974	286
773	975	284
774	977	283
775	978	282
776	979	281
777	980	279
778	981	278
779	982	277
780	983	275
781	984	274
782	985	273
783	986	271
784	987	270
785	988	269
786	990	267
787	991	266
788	992	265
789	993	264
790	994	262
791	995	261
792	996	260
793	997	258
794	998	257
795	999	256
796	1000	254
797	1001	253
798	1002	252
799	1003	250
800	1005	249
801	1006	248
802	1007	247
803	1008	245
804	1009	244
805	1010	243
806	1011	241
807	1012	240
808	1013	239
809	1014	238
810	1015	236
811	1016	235
812	1017	234
813	1019	232
814	1019	231
815	1020	230
816	1022	228
817	1022	227
818	1023	226
819	1024	224
820	1026	223
821	1028	222
822	1029	221
823	1030	220
824	1031	218
825	1031	217
826	1032	216
827	1034	214
828	1035	213
829	1036	212
830	1037	210
831	1038	209
832	1039	208
833	1040	207
834	1041	205
835	1042	204
836	1043	203
837	1044	201
838	1045	200
839	1046	199
840	1047	197
841	1048	196
842	1049	195
843	1050	194
844	1051	192
845	1052	191
846	1053	190
847	1054	188
848	1055	187
849	1056	186
850	1057	185
851	1058	183
852	1059	182
853	1059	181
854	1060	179
855	1061	178
856	1062	177
857	1063	176
858	1064	174
859	1065	173
860	1066	172
861	1067	170
862	1068	169
863	1069	168
864	1070	167
865	1071	165
866	1072	164
867	1073	163
868	1074	162
869	1075	160
870	1076	159
871	1077	158
872	1078	156
873	1079	155
874	1080	154
875	1081	153
876	1082	151
877	1083	150
878	1084	149
879	1086	148
880	1087	146
881	1088	145
882	1089	144
883	1090	143
884	1091	141
885	1092	140
886	1093	139
887	1094	138
888	1095	136
889	1096	135
890	1097	134
891	1098	133
892	1099	131
893	1100	130
894	1101	129
895	1102	128
896	1103	126
897	1104	125
898	1105	124
899	1106	122
900	1107	121
901	1108	120
902	1109	119
903	1111	117
904	1112	116
905	1113	115
906	1114	114
907	1115	113
908	1116	111
909	1117	110
910	1118	109
911	1119	108
912	1120	106
913	1121	105
914	1122	104
915	1123	103
916	1124	101
917	1125	100
918	1126	99
919	1127	98
920	1128	96
921	1129	95
922	1130	94
923	1131	93
924	1132	91
925	1133	90
926	1134	89
927	1135	88
928	1136	86
929	1137	85
930	1138	84
931	1139	83
932	1140	81
933	1141	80
934	1142	79
935	1143	78
936	1144	76
937	1145	75
938	1146	74
939	1147	73
940	1148	72
941	1149	70
942	1150	69
943	1151	68
944	1153	67
945	1154	65
946	1155	64
947	1157	63
948	1158	62
949	1164	61
950	1166	60
951	1169	58
952	1170	57
953	1172	56
954	1175	55
955	1176	54
956	1177	52
957	1178	51
958	1180	50
959	1185	49
960	1188	48
961	1189	47
962	1191	45
963	1192	44
964	1193	43
965	1194	42
966	1195	40
967	1196	39
968	1198	38
969	1201	37
970	1202	35
971	1203	34
972	1204	33
973	1205	32
974	1206	30
975	1207	29
976	1209	28
977	1210	27
978	1214	26
979	1216	24
980	1217	23
981	1218	22
982	1219	21
983	1220	19
984	1221	18
985	1222	17
986	1223	16
987	1224	14
988	1226	13
989	1227	12
990	1229	11
991	1231	9
992	1232	8
993	1233	7
994	1234	6
995	1235	4
996	1236	3
997	1237	2
998	1238	1
999	1239	0
